,qiymət,şəhər,marka,model,rəng,mühərrik_sm³,yanacaq_növü,sürətlər_qutusu,kuzov_növü,buraxılış_ili,yürüş_km
0,4 200 AZN,Bakı,Opel,Vectra,Gümüşü,2500,Benzin,Avtomat,Sedan,1999,136523
1,7 700 AZN,Bakı,Opel,Astra,Göy,1400,Benzin,Mexaniki,Hetçbek,2007,209346
2,8 700 AZN,Bakı,Renault,Megane,Gümüşü,1900,Dizel,Mexaniki,Universal,2006,395000
3,7 700 AZN,Bakı,Mitsubishi,Pajero,Gümüşü,282,Dizel,Avtomat,Offroader/SUV,1994,385000
4,8 600 AZN,Bakı,Toyota,Prius,Boz,1500,Hibrid,Avtomat,Sedan,2008,125000
5,14 000 AZN,Zaqatala,Mercedes,C 230,Qızılı,2300,Benzin,Avtomat,Sedan,1999,317523
6,29 000 AZN,Bakı,Hyundai,Santa Fe,Qara,2400,Benzin,Avtomat,Offroader/SUV,2014,189000
7,2 600 AZN,Bakı,LADA (VAZ),2107,Ağ,160,Benzin,Mexaniki,Sedan,1992,150000
8,15 000 AZN,Cəlilabad,Honda,Accord,Ağ,2400,Benzin,Avtomat,Sedan,2008,243
9,9 800 AZN,Bakı,Mercedes,E 240,Gümüşü,2400,Benzin,Avtomat,Sedan,2001,000000
10,13 700 AZN,Bakı,Opel,Astra,Qara,1400,Benzin,Mexaniki,Hetçbek,2009,1443500
11,15 300 AZN,Cəlilabad,Gaz,3302-Gazel,Ağ,2300,Benzin,Mexaniki,Universal,2008,253000
12,26 000 AZN,Bakı,Infiniti,QX56,Qara,5600,Benzin,Avtomat,Offroader/SUV,2006,280000
13,3 800 AZN,Bakı,Toyota,Tercel,Ağ,5200,Benzin,Avtomat,Sedan,1997,180
14,3 300 AZN,Şamaxı,LADA (VAZ),2106,Ağ,150,Benzin,Mexaniki,Sedan,1986,42800
15,9 800 AZN,Bakı,Volkswagen,Passat,Qara,2000,Benzin,Avtomat,Sedan,2010,210000
16,13 000 AZN,Bakı,Mercedes,C 180,Qara,108,Benzin,Avtomat,Universal,1998,394000
17,7 000 AZN,Bakı,Hyundai,Elantra,Gümüşü,2000,Dizel,Mexaniki,Sedan,2001,205000
18,9 800 AZN,Bakı,Chevrolet,Aveo,Ağ,1400,Benzin,Avtomat,Sedan,2013,25000
19,2 800 AZN,Sumqayıt,LADA (VAZ),21013,Ağ,65,Benzin,Mexaniki,Sedan,1985,330000
20,5 350 AZN,Bakı,Mercedes,190,Boz,2000,Benzin,Mexaniki,Sedan,1991,236548
21,17 400 AZN,Bakı,Mercedes,E 220,Gümüşü,2200,Dizel,Avtomat,Sedan,1999,358310
22,15 300 AZN,Bakı,Fiat,Doblo,Ağ,1400,Benzin,Mexaniki,Miniven,2010,238000
23,4 500 AZN,Bakı,LADA (VAZ),2106,Bənövşəyi,1600,Benzin,Mexaniki,Sedan,2004,3900
24,10 700 AZN,Bakı,KIA,Rio,Qırmızı,1400,Benzin,Mexaniki,Hetçbek,2006,143568
25,2 200 AZN,Bakı,LADA (VAZ),2106,Ağ,1600,Benzin,Mexaniki,Sedan,1987,56778
26,5 600 AZN,Bakı,Volkswagen,Passat,Yaş Asfalt,180,Benzin,Avtomat,Sedan,2001,292000
27,8 500 AZN,Bakı,Hyundai,Sonata,Qara,200,Benzin,Avtomat,Sedan,2004,1568564
28,5 000 AZN,Bakı,LADA (VAZ),2106,Qara,1600,Benzin,Mexaniki,Sedan,2004,55529
29,4 800 AZN,Bakı,Mercedes,190,Qızılı,290,Benzin,Avtomat,Sedan,1992,397540
30,2 800 AZN,Bakı,Hyundai,Accent,Yaşıl,1300,Benzin,Mexaniki,Sedan,1995,83000
31,11 200 AZN,Bakı,KIA,Rio,Qara,1500,Dizel,Mexaniki,Hetçbek,2006,286000
32,8 300 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2023,68750
33,8 200 AZN,Bakı,LADA (VAZ),Niva,Ağ,1700,Benzin,Mexaniki,Kupe,2011,15300
